Date,momentum_30,momentum_90,volatility_30,volatility_90,moving_average_30,moving_average_90,volume_ratio_30,volume_ratio_90
2016-09-28 00:00:00-04:00,0.04178067998104473,0.2031849860337347,0.013923242077356332,0.013270931126419905,0.039294477397871175,0.10948474151960497,-0.240984075596956,-0.17599076437178807
2016-09-29 00:00:00-04:00,0.0271011394381091,0.16963284660827438,0.014257989102235401,0.013351960878658033,0.022231225365110685,0.09033202104648286,-0.08923286304257005,-0.0017002588514207773
2016-09-30 00:00:00-04:00,0.036395690825746785,0.16100537170105333,0.014303742195420152,0.013290617879898712,0.028918309502049544,0.09693082589494173,-0.08785127245137381,0.011601541854589392
2016-10-03 00:00:00-04:00,0.028895337659646803,0.1356108864553116,0.01434269757420104,0.013199658516282634,0.023113647330828657,0.09020882529370056,-0.4541890034493903,-0.39344731478759
2016-10-04 00:00:00-04:00,0.0413784777543067,0.1314824112447477,0.014255533127143874,0.013185241948586859,0.026081922202839447,0.09331415506862806,-0.2545524447704052,-0.1619524157193386
2016-10-05 00:00:00-04:00,0.03858518783294418,0.1326596852195423,0.01425304298611086,0.0131838757339452,0.02523253494642841,0.09224311525207995,-0.4622975500268812,-0.3925732494692745
2016-10-06 00:00:00-04:00,0.054243932000078265,0.14667513292361822,0.014192782664813417,0.013181097111068869,0.031024006932687476,0.09864073742949264,-0.2817359750629702,-0.18165517063577674
2016-10-07 00:00:00-04:00,0.060332366499770806,0.16471539896172338,0.01414607119956432,0.013075464208216305,0.03054452220837134,0.0983813800253055,-0.3917029930461624,-0.30630901874914473
2016-10-10 00:00:00-04:00,0.08518796710662335,0.19401008465035963,0.014335438581676584,0.013140681623137149,0.04565561161132603,0.11529471373206013,-0.10142161666739402,0.03324062098989322
2016-10-11 00:00:00-04:00,0.08874750593987302,0.19413834351261294,0.014316777917997224,0.01314068560913979,0.044932976587525486,0.11544522524760104,0.5384014215337445,0.8057476241110977
2016-10-12 00:00:00-04:00,0.10698112437703688,0.19614374320095962,0.014213101208591533,0.013149403603886872,0.050708731985162014,0.12311703780027283,-0.10619075641549214,0.055100220909655384
2016-10-13 00:00:00-04:00,0.10254468660567762,0.18765760867817938,0.014256694741635809,0.013158793218504218,0.04409458485706241,0.11747475222498682,-0.16678162722914314,-0.01603611032617236
2016-10-14 00:00:00-04:00,0.10212704026404218,0.19534276058601296,0.014254486032688292,0.013160398019122114,0.04650236845744837,0.12139592834929647,-0.16181622393258466,-0.007743759677844131
2016-10-17 00:00:00-04:00,0.09115361239747855,0.18601929555347363,0.014226062564422659,0.013152197703793089,0.042754006545650425,0.11844901650059159,-0.4431916804353737,-0.3418764757350803
2016-10-18 00:00:00-04:00,0.09071459112467894,0.1950454210010295,0.014229457221383955,0.013110357888405132,0.03904259831291501,0.11542692408616184,-0.4202459506823595,-0.31448918312966156
2016-10-19 00:00:00-04:00,0.08084150910487198,0.20972296496867715,0.014257460864007416,0.012994133010571845,0.033277917386266065,0.1097261138027974,-0.5184830338489832,-0.4375143010667991
